English,Korean,Category,Calories,Carbs,Protein,Fat,Fiber,GI,GL,HealthySwap,Why
White Bread,,Everyday,80,15,3,1,0.6,75,11,Whole Wheat Bread,More fiber
Pasta,,Everyday,220,43,8,1.3,3,49,21,Whole Wheat Pasta,More fiber
Whole Wheat Pasta,,Everyday,210,38,9,2,6,40,15,Lentil Pasta,More fiber and protein
Macaroni,,Everyday,220,43,8,1.3,3,50,22,Whole Wheat Macaroni,More fiber
Pizza,,Everyday,285,36,12,10,2,60,22,Vegetable Whole Wheat Pizza,More vegetables and fiber
Cheese Pizza,,Everyday,285,36,12,10,2,60,22,Vegetable Pizza,More vegetables
Burger,,Everyday,500,40,25,27,3,55,22,Grilled Chicken Burger,Lower saturated fat
Chicken Sandwich,,Everyday,380,38,28,12,3,55,21,Whole Grain Chicken Sandwich,More fiber
Grilled Sandwich,,Everyday,320,34,18,12,4,50,17,Whole Grain Sandwich,More fiber
French Fries,,Everyday,365,48,4,17,4,70,34,Baked Potato Wedges,Less added oil
Potato Chips,,Everyday,300,30,4,19,3,56,17,Air-popped Popcorn,Lower fat
Popcorn,,Everyday,120,19,3,4,3.5,55,10,Air-popped Popcorn,Less added fat
Peanuts,,Everyday,170,6,7,14,2.5,14,1,Unsalted Peanuts,No added salt
Almonds,,Everyday,164,6,6,14,3.5,15,1,Unsalted Almonds,No added salt
Walnuts,,Everyday,185,4,4,18,2,15,1,Unsalted Walnuts,No added salt
Cashews,,Everyday,157,9,5,12,1,25,2,Unsalted Cashews,No added salt
Chia Seeds,,Everyday,138,12,5,9,10,1,0,Ground Chia,Very high fiber
Flax Seeds,,Everyday,55,3,1.9,4.3,2.8,1,0,Ground Flax,High fiber
Peanut Butter,,Everyday,190,7,7,16,2,14,1,Natural Peanut Butter,Less added sugar
Hummus,,Everyday,166,14,8,10,6,6,1,Homemade Hummus,Control added oil
Baked Beans,,Everyday,239,44,10,1,10,40,18,Low-sugar Beans,Less added sugar
Black Beans,,Everyday,227,41,15,1,15,30,12,Black Bean Salad,More vegetables
Kidney Beans,,Everyday,215,39,15,1,13,24,9,Kidney Bean Salad,More vegetables
Green Salad,,Everyday,80,12,3,2,5,15,1,Fresh Mixed Salad,Minimal added dressing
Caesar Salad,,Everyday,330,12,14,27,3,20,2,Grilled Chicken Salad,More protein and less heavy dressing
Fruit Salad,,Everyday,140,34,2,0.5,6,45,15,Fruit Salad,Whole fruit and fiber
Chicken Biryani,,Everyday,450,55,22,15,4,58,32,Brown Rice Chicken Biryani,More fiber
Vegetable Biryani,,Everyday,360,55,8,11,6,58,32,Brown Rice Vegetable Biryani,More fiber
Pulao,,Everyday,300,48,7,8,4,60,29,Brown Rice Pulao,More fiber
Fried Egg,,Everyday,90,0.4,6.3,7,0,0,0,Boiled Egg,Less added oil
Idiyappam,,Everyday,190,40,3,1,1,70,28,Millet Idiyappam,More fiber
Appam,,Everyday,180,30,3,5,1,65,20,Whole Grain Appam,More fiber
Pongal,,Everyday,280,40,8,9,4,55,22,Millet Pongal,More fiber
Curd,,Everyday,100,8,6,4,0,35,3,Plain Yogurt,Similar protein with simple preparation
Lassi Unsweetened,,Everyday,130,10,7,6,0,35,4,Plain Yogurt,No added sugar
Sweet Lassi,,Everyday,180,28,7,5,0,50,14,Unsweetened Lassi,Less added sugar
Masala Chai,,Everyday,120,18,4,4,0,50,9,Unsweetened Tea,Less added sugar
Green Tea,,Everyday,2,0,0,0,0,0,0,Unsweetened Green Tea,No added sugar
Coffee with Milk,,Everyday,70,7,4,3,0,20,1,Unsweetened Coffee,Less added sugar
Hot Chocolate,,Everyday,190,28,7,6,2,55,15,Unsweetened Cocoa,Less added sugar
Dark Chocolate,,Everyday,170,13,2,12,3,23,3,High-cocoa Dark Chocolate,Lower sugar than milk chocolate
Milk Chocolate,,Everyday,210,24,3,12,1,49,12,High-cocoa Dark Chocolate,Less added sugar
Ice Cream,,Everyday,210,24,4,11,0,51,12,Plain Greek Yogurt with Berries,More protein and less added sugar
Rice Pudding,,Everyday,220,36,6,6,1,60,22,Chia Yogurt Bowl,More fiber and protein
Pancakes,,Everyday,227,28,6,10,1,67,19,Oat Pancakes,More fiber
Waffles,,Everyday,291,33,7,15,2,76,25,Whole Grain Waffles,More fiber
Granola,,Everyday,200,32,5,7,4,55,18,Low-sugar Oats,Less added sugar
Cornflakes,,Everyday,110,24,2,0.3,1,81,19,Oats,More fiber and lower GI
Muesli,,Everyday,180,30,5,4,5,50,15,Unsweetened Muesli,Less added sugar
