English,Korean,Category,Calories,Carbs,Protein,Fat,Fiber,GI,GL,HealthySwap,Why
Brown Rice Bibimbap,현미 비빔밥,Korean Home,470,52,18,11,8,50,16,Extra Vegetables,More fiber
Kimchi Fried Rice,김치볶음밥,Korean Home,520,60,14,18,4,68,29,Brown Rice Kimchi Bowl,Lower GL
Bulgogi,불고기,Korean Home,360,12,30,18,1,30,4,Lean Bulgogi,Lower fat
Galbi,갈비,Korean Home,420,10,28,28,0,25,3,Grilled Chicken,Less saturated fat
Japchae,잡채,Korean Home,340,45,8,12,3,62,22,Vegetable Japchae,More vegetables
Kimchi Jjigae,김치찌개,Korean Home,230,14,16,11,4,30,4,Tofu Kimchi Stew,Higher protein
Doenjang Jjigae,된장찌개,Korean Home,220,16,14,9,5,28,4,Vegetable Soybean Stew,More fiber
Sundubu Jjigae,순두부찌개,Korean Home,210,10,18,10,2,25,3,Extra Tofu,More protein
Samgyeopsal,삼겹살,Korean Home,480,2,28,40,0,0,0,Grilled Chicken Breast,Lower fat
Bossam,보쌈,Korean Home,350,4,30,22,0,10,0,Lean Pork,Lower saturated fat
Kimbap,김밥,Korean Home,320,42,10,10,3,58,21,Brown Rice Kimbap,Higher fiber
Naengmyeon,냉면,Korean Home,330,58,9,4,2,65,28,Buckwheat Noodles,Lower GI
Bibim Naengmyeon,비빔냉면,Korean Home,360,60,10,6,2,68,30,Buckwheat Version,More fiber
Jajangmyeon,짜장면,Korean Home,520,78,15,15,4,72,41,Whole Wheat Noodles,Lower GI
Jjamppong,짬뽕,Korean Home,410,56,18,10,5,65,30,Vegetable Seafood Soup,More vegetables
Tteokguk,떡국,Korean Home,310,42,12,8,2,68,29,Brown Rice Soup,Lower GI
Galbitang,갈비탕,Korean Home,290,10,25,15,1,25,3,Lean Beef Soup,Less fat
Seolleongtang,설렁탕,Korean Home,260,8,22,14,0,20,2,Extra Vegetables,Higher fiber
Yukgaejang,육개장,Korean Home,280,12,20,14,3,25,3,Vegetable Yukgaejang,More vegetables
Dakgalbi,닭갈비,Korean Home,360,18,28,18,3,35,6,Grilled Chicken,Lower fat
Dak Gomtang,닭곰탕,Korean Home,240,8,24,10,1,20,2,Chicken Vegetable Soup,More fiber
Ojingeo Bokkeum,오징어볶음,Korean Home,250,14,22,10,2,30,4,Grilled Squid,Less oil
Kongguksu,콩국수,Korean Home,330,38,18,10,5,45,17,Soybean Salad,Higher protein
Haemul Pajeon,해물파전,Korean Home,390,40,18,18,3,60,24,Grilled Seafood,Lower fat
Gamjatang,감자탕,Korean Home,420,28,24,22,4,55,15,Vegetable Pork Soup,More vegetables
Kimchi Bokkeum,김치볶음,Korean Home,140,10,3,8,3,30,3,Fresh Kimchi,Less oil
Gyeran Mari,계란말이,Korean Home,180,4,12,12,0,10,0,Vegetable Omelette,More fiber
Dubu Jorim,두부조림,Korean Home,220,8,18,12,2,20,2,Steamed Tofu,Less oil
Miyeokguk,미역국,Korean Home,120,6,8,4,3,15,1,Seaweed Soup,Very light meal
Banchan,반찬,Korean Home,120,10,5,6,3,25,3,Fresh Vegetable Side Dishes,More fiber and fewer calories
Kongnamul Muchim,콩나물무침,Korean Home,90,8,6,3,4,20,2,Steamed Bean Sprouts,Less oil
Sigeumchi Namul,시금치나물,Korean Home,80,7,5,2,4,15,1,Fresh Spinach Salad,Higher nutrients
Oi Muchim,오이무침,Korean Home,60,6,2,1,2,15,1,Cucumber Salad,Lower sodium
Musaengchae,무생채,Korean Home,70,9,2,1,3,20,2,Fresh Radish Salad,Higher fiber
Gaji Bokkeum,가지볶음,Korean Home,110,10,3,6,4,25,3,Grilled Eggplant,Less oil
Hobak Bokkeum,호박볶음,Korean Home,100,8,3,5,3,20,2,Steamed Zucchini,Lower fat
Jangjorim,장조림,Korean Home,240,8,24,12,0,15,1,Boiled Lean Beef,Less sodium
Godeungeo Gui,고등어구이,Korean Home,310,0,28,20,0,0,0,Grilled Mackerel,Rich in omega-3
Gul Gukbap,굴국밥,Korean Home,320,38,18,8,3,50,19,Brown Rice Oyster Soup,Lower GI
Kimchi Bokkeumbap,김치볶음밥,Korean Home,510,62,14,17,4,70,30,Brown Rice Kimchi Bowl,Higher fiber
Dakjuk,닭죽,Korean Home,250,34,14,5,2,55,19,Chicken Vegetable Porridge,More vegetables
Patjuk,팥죽,Korean Home,280,42,10,4,8,45,19,Red Bean Porridge with Grains,Higher fiber
Abalone Porridge,전복죽,Korean Home,270,36,15,6,2,50,18,Mixed Grain Porridge,Lower GI
